viewCount,likeCount,dislikeCount,commentCount,subscriberCount,channelVideoCount,channelViewCount,PrevCommentCount,PrevDislikeCount,PrevLikeCount,PrevViewCount,Days,Hours_published,Age_Channel
6196726,177412,5310,15475,1.40E+07,1348,2504291435,6435,1888,97471,1577002,8,192,12
1577002,97471,1888,6435,1.40E+07,1348,2504291435,7890,3665,116458,3641950,9,216,12
3641950,116458,3665,7890,1.40E+07,1348,2504291435,7998,4810,95389,3650977,2,48,12
3650977,95389,4810,7998,1.40E+07,1348,2504291435,13412,5788,237157,9725605,2,48,12
4932243,161889,2712,6477,1.40E+07,1348,2504291435,7881,3168,95362,2747537,3,72,12
2747537,95362,3168,7881,1.40E+07,1348,2504291435,7691,2795,97088,3933404,3,72,12
3933404,97088,2795,7691,1.40E+07,1348,2504291435,18351,7217,335106,8116459,4,96,12
3006745,87889,3838,5373,1.40E+07,1348,2504291435,11659,4051,139044,6652623,3,72,12
3630588,112358,4031,7733,1.40E+07,1348,2504291435,6116,1194,99422,2198239,2,48,12
2198239,99422,1194,6116,1.40E+07,1348,2504291435,3877,1932,64513,2865257,2,48,12
2865257,64513,1932,3877,1.40E+07,1348,2504291435,5743,2584,102491,4098989,2,48,12
4098989,102491,2584,5743,1.40E+07,1348,2504291435,8597,4037,149252,3503583,5,120,12
3503583,149252,4037,8597,1.40E+07,1348,2504291435,10788,4636,169909,5882361,2,48,12
5882361,169909,4636,10788,1.40E+07,1348,2504291435,10143,2981,152939,5934928,1,24,12
5934928,152939,2981,10143,1.40E+07,1348,2504291435,15474,6336,173264,7385481,0,0,12
2422794,76072,1950,6242,1.40E+07,1348,2504291435,7707,4639,96328,2533423,10,240,12
5242389,213937,3702,9105,1.40E+07,1348,2504291435,11772,4950,191770,6054706,10,240,12
6054706,191770,4950,11772,1.40E+07,1348,2504291435,7117,2306,125332,3962448,2,48,12
3962448,125332,2306,7117,1.40E+07,1348,2504291435,3559,1300,74817,2158555,4,96,12
2158555,74817,1300,3559,1.40E+07,1348,2504291435,3504,1681,84159,2547120,2,48,12
2547120,84159,1681,3504,1.40E+07,1348,2504291435,4948,1586,96597,2144361,1,24,12
2144361,96597,1586,4948,1.40E+07,1348,2504291435,6993,3806,97853,3876801,3,72,12
3876801,97853,3806,6993,1.40E+07,1348,2504291435,5520,2639,102691,2820232,3,72,12
2820232,102691,2639,5520,1.40E+07,1348,2504291435,11518,4827,142716,3658446,4,96,11
3658446,142716,4827,11518,1.40E+07,1348,2504291435,23559,7647,221616,6759480,3,72,11
6759480,221616,7647,23559,1.40E+07,1348,2504291435,710,1610,7977,250132,1,24,11
250132,7977,1610,710,1.40E+07,1348,2504291435,4228,3413,99002,3457966,2,48,11
3457966,99002,3413,4228,1.40E+07,1348,2504291435,20771,1295,308292,2850182,3,72,11
2850182,308292,1295,20771,1.40E+07,1348,2504291435,13446,3858,115266,2531860,1,24,11
2531860,115266,3858,13446,1.40E+07,1348,2504291435,1288,3514,11795,445712,1,24,11
445712,11795,3514,1288,1.40E+07,1348,2504291435,7920,3960,114386,4043503,3,72,11
4043503,114386,3960,7920,1.40E+07,1348,2504291435,15333,5394,163922,4823538,3,72,11
4823538,163922,5394,15333,1.40E+07,1348,2504291435,568,645,12110,421663,1,24,11
421663,12110,645,568,1.40E+07,1348,2504291435,8497,3515,90396,2911490,4,96,11
2911490,90396,3515,8497,1.40E+07,1348,2504291435,5495,1609,89895,1723248,1,24,11
3055586,84598,1681,5039,1.40E+07,1348,2504291435,5327,2421,118133,2578031,3,72,11
2578031,118133,2421,5327,1.40E+07,1348,2504291435,26714,14043,278167,8409749,1,24,11
3240675,93945,2787,6773,1.40E+07,1348,2504291435,16668,5170,173741,7639426,5,120,11
3212098,98494,1814,5367,1.40E+07,1348,2504291435,14903,2550,118021,4239285,6,144,11
4239285,118021,2550,14903,1.40E+07,1348,2504291435,8767,2934,174449,6112253,2,48,11
6112253,174449,2934,8767,1.40E+07,1348,2504291435,3901,1271,70463,2308232,4,96,11
2308232,70463,1271,3901,1.40E+07,1348,2504291435,5722,2114,73199,2653404,1,24,11
2653404,73199,2114,5722,1.40E+07,1348,2504291435,19130,6424,258033,9988794,2,48,11
5301009,112265,3366,11618,1.40E+07,1348,2504291435,3975,1405,70369,2531484,4,96,11
2531484,70369,1405,3975,1.40E+07,1348,2504291435,16359,3946,117731,4309373,2,48,11
4309373,117731,3946,16359,1.40E+07,1348,2504291435,19295,4675,313574,7412070,5,120,11
4134521,90078,2405,5160,1.40E+07,1348,2504291435,8104,1695,147205,2676217,1,24,11
2676217,147205,1695,8104,1.40E+07,1348,2504291435,5417,1167,89743,2235064,5,120,11
2235064,89743,1167,5417,1.40E+07,1348,2504291435,7315,1881,92261,3244183,1,24,11
3244183,92261,1881,7315,1.40E+07,1348,2504291435,4691,1575,90597,3492680,0,0,11
3492680,90597,1575,4691,1.40E+07,1348,2504291435,12463,4374,173936,7539994,2,48,11
3516201,91280,1801,7110,1.40E+07,1348,2504291435,16542,6529,180954,8342169,6,144,11
4551923,124692,7632,14337,1.40E+07,1348,2504291435,12688,5920,167900,7719243,2,48,11
4753982,122205,3990,15332,1.40E+07,1348,2504291435,26061,7610,171979,7709416,0,0,11
3248414,85206,1681,4153,1.40E+07,1348,2504291435,9677,3297,94000,2797966,1,24,11
